STU_ID,P1TYPEPS,P1HIDEG2,S2TYPEPS2013,S3REPUTATION,X1PAR2EDU,X3TCREDAPIB,X1MOMEDU,X2PAR2EDU,X3TCREDAPMTH,X1DADEDU,P1HIDEG1,X3TAGPAWGT,X1PAR1EDU,S2FR4Y,X1SESQ5,X1SESQ5_U,X1PAREDU,X2DADEDU,X3THIMATH,X3TCREDGEN,X2MOMEDU,X2X1TXMSCR,X3WORK,X3THILANG,X2SESQ5_U,X3CLGANDWORK,X2TXMTH1,S2FR2YPUB,S3WORK,X2PAREDU,X3T1CREDCALC,X3THISCI,X2TXMTSCOR,X2TXMTH,X2REQLEVEL,X2TXMTH4,X2TXMSCR,X2TXMTH2,X1TXMSCR,S3CLGAPPNUM,X2TXMTH5,X2SESQ5,S3SOCIALLIFE,S2ANYAP,X1TXMTSCOR,S2PSATNUM,S3FOCUS,X3TCREDAPSS,X2PAR1EDU,X1TXMPROF4,X2TXMTH3,A2HIGHERED,X3TCREDAPENG,X3THIPHY,X3TCREDAPSCI,X2TXMPROF5,P1INCOMECAT,A1UNPREP,X2TXMPROF6,X1PAR2OCC2,X1FAMINCOME,S3CHOICEAPPCNTRL,A2PRNTINV,X3TCREDADV,S3CLGCNTRL,N1INVOLVEMNT,X3TGPAWGT,X3T1CREDPHYS,X2TXMPROF4,X3TCREDLANG,C2PCTAP,S2FRCLGEXAM,S2CANTAFFORD,S1PSAT,X1TXMPROF5,S2DEGREE2013,X1TXMPROF3,S2IMPACTIVITY,S2SUREBA,M1INVOLVEMNT,X3TCREDHON,X1TXMQUINT,undermatched
20685,3,7,4,2,7,3.0,5,7,2.0,7,5,4.5,5,5,5,5,7,7,13,23.0,6,93.4157,2,4,5,2,3.4257,5,2,7,1,1,75.3908,3.4257,4,3.4257,108.366,3.4257,65.9918,1,3.4257,5,3,1,74.0948,1,1,0.0,6,0.9773,3.4257,95,0.0,1,0.0,0.9998,6,1,0.8755,25,6,1,2,3.0,1,1,4.5,1,0.9989,2.0,28,5,3,0,0.7511,4,0.9998,2,2,-8,9.0,5,0
20692,-8,-8,3,4,-8,1.0,-8,2,0.0,-8,-8,4.0,-8,4,3,3,-8,2,11,24.5,2,49.6311,2,3,4,2,0.4777,0,2,2,0,1,49.3946,0.4777,5,0.4777,63.509,0.4777,35.9321,1,0.4777,3,2,2,47.7691,4,1,0.0,2,0.0586,0.4777,25,1.0,1,0.0,0.0381,-8,2,0.0179,-8,-8,2,3,1.0,2,3,4.0,1,0.0896,2.0,-7,4,4,3,0.0513,4,0.18,1,2,2,0.0,2,1
20715,2,2,3,1,2,6.0,3,2,1.0,2,3,4.0,3,3,2,2,3,2,11,16.0,4,62.4535,3,1,4,5,2.4205,1,3,4,0,1,66.527,2.4205,4,2.4205,95.8928,2.4205,45.4797,2,2.4205,4,2,1,55.0782,1,1,3.0,4,0.1405,2.4205,65,2.0,0,0.0,0.957,4,3,0.207,49,4,1,2,6.0,1,-8,4.0,0,0.969,1.0,50,4,3,1,0.0687,3,0.6567,2,1,3,0.0,4,0
20729,3,5,3,-7,5,0.0,3,6,0.0,5,3,4.0,3,5,5,5,5,6,11,23.0,4,68.4714,3,3,5,5,1.4371,5,3,6,0,2,57.8551,1.4371,5,1.4371,79.7098,1.4371,49.7565,0,1.4371,5,-7,1,58.7341,1,-7,0.0,4,0.2769,1.4371,65,0.0,0,0.0,0.1939,3,2,0.0315,17,3,-7,-7,9.0,-7,1,4.0,0,0.6116,3.0,-6,2,3,3,0.0944,4,0.8736,2,2,3,0.0,4,0
20730,3,-7,3,-7,-7,11.0,0,-7,2.0,4,4,4.5,4,1,5,5,4,0,13,6.0,5,90.7711,2,7,4,4,2.4002,1,2,5,1,5,66.3478,2.4002,5,2.4002,95.6076,2.4002,64.5218,1,2.4002,4,-7,1,72.3204,2,-7,2.5,5,0.9609,2.4002,86,1.0,5,3.0,0.9524,9,1,0.1973,-7,9,3,3,14.0,-7,-9,4.5,1,0.967,4.0,20,4,1,1,0.642,3,0.9995,1,2,3,7.5,5,0
20759,3,2,3,2,2,2.0,2,2,1.0,2,2,4.5,2,3,4,4,2,2,13,16.0,4,71.7914,2,4,3,2,2.3856,1,2,4,1,5,66.219,2.3856,4,2.3856,95.4015,2.3856,52.1304,3,2.3856,3,3,2,60.797,2,1,0.0,4,0.4054,2.3856,73,0.0,0,1.0,0.9489,-9,3,0.1907,53,5,2,2,2.0,2,-9,4.5,0,0.9654,2.0,23,3,3,1,0.1207,3,0.938,2,1,2,14.0,5,0
20773,3,4,3,1,4,2.0,4,5,0.0,4,4,4.5,4,4,5,5,4,5,11,11.0,5,90.72,2,8,5,2,2.6734,1,2,5,0,5,68.7571,2.6734,4,2.6734,99.3073,2.6734,64.4923,9,2.6734,5,1,1,72.2874,2,1,0.0,5,0.9606,2.6734,84,1.0,0,1.0,0.9884,7,3,0.3608,43,7,2,3,2.0,2,-8,4.5,0,0.9861,3.0,15,3,4,1,0.6399,3,0.9995,1,2,3,11.0,5,0
20776,3,5,3,1,5,0.0,4,6,0.0,5,4,4.0,4,-9,5,5,5,6,11,31.5,5,68.045,2,3,5,2,1.9885,-9,2,6,0,2,62.7174,1.9885,4,1.9885,89.3094,1.9885,49.4517,5,1.9885,5,1,2,58.4707,2,1,0.0,5,0.2632,1.9885,93,0.0,0,0.0,0.7208,5,3,0.077,21,5,2,2,0.0,2,4,4.0,0,0.8914,2.0,30,-9,4,1,0.0918,3,0.8625,2,1,1,0.0,4,0
20782,3,2,3,-8,2,0.0,4,2,0.0,2,4,4.75,4,3,4,5,4,2,5,5.0,5,78.2095,-8,1,5,-8,0.6045,1,-8,5,0,1,61.9475,1.9012,5,2.1921,87.8324,2.2483,56.6313,-8,2.1613,5,-8,1,64.7621,2,-8,0.0,5,0.6959,2.2997,100,0.0,0,0.0,0.6316,6,1,0.0645,27,6,-8,-7,0.0,-8,2,4.5,0,0.8634,2.0,-6,4,3,1,0.2174,3,0.9869,2,1,1,10.0,5,0
20800,3,4,3,2,4,6.0,2,5,0.0,4,2,4.5,2,3,5,5,4,5,12,16.0,2,88.4563,3,9,4,5,3.4854,5,3,5,1,5,75.9175,3.4854,5,3.4854,108.98,3.4854,63.1651,7,3.4854,4,3,1,70.8666,1,1,3.0,2,0.9397,3.4854,75,2.0,5,1.0,0.9999,-9,1,0.8973,11,11,2,2,2.0,2,-9,4.5,1,0.9991,2.0,20,2,4,1,0.5451,4,0.999,1,2,2,2.0,5,0
20811,3,5,3,1,5,0.0,5,6,0.0,4,4,4.5,4,4,5,5,5,5,6,12.0,6,74.5413,2,5,5,2,1.8976,0,2,6,0,3,59.5512,1.6294,4,1.885,83.0699,1.219,54.0825,7,1.1795,5,1,1,62.5072,2,1,0.0,5,0.5322,1.9661,98,0.0,0,0.0,0.3398,12,2,0.0405,11,12,1,-7,0.0,1,2,4.5,0,0.7375,3.0,-6,4,4,1,0.1533,3,0.9676,1,1,-9,6.0,5,0
20812,3,4,3,1,4,2.0,4,5,0.0,4,4,4.5,4,3,5,5,4,5,12,18.0,5,66.3237,3,3,5,5,2.0964,1,3,5,1,2,63.6688,2.0964,4,2.0964,91.0683,2.0964,48.2236,4,2.0964,5,1,1,57.4133,2,1,0.0,5,0.2148,2.0964,100,2.0,1,0.0,0.8126,8,3,0.0972,41,8,1,1,3.0,1,2,4.5,1,0.9192,2.0,15,3,4,3,0.0827,3,0.8106,1,1,1,7.0,4,0
20815,3,4,3,2,4,2.0,4,5,0.0,4,4,4.0,4,3,5,5,4,5,8,22.0,5,84.2836,1,3,5,1,2.4441,1,1,5,0,5,66.735,2.4441,5,2.4441,96.2214,2.4441,60.6135,3,2.4441,5,2,1,68.3798,1,1,1.0,5,0.877,2.4441,89,0.0,0,1.0,0.9618,10,2,0.2186,11,10,2,2,4.0,2,3,4.0,0,0.9711,2.0,80,3,3,1,0.3866,3,0.9971,2,1,3,4.0,5,1
20829,2,-7,2,1,-7,0.0,2,-7,0.0,0,2,4.0,2,0,2,2,2,0,7,24.0,2,53.537,1,1,1,1,0.5339,3,1,2,0,1,49.8904,0.5339,4,0.5339,64.479,0.5339,38.9847,6,0.5339,1,3,2,49.9146,1,1,0.0,2,0.0704,0.5339,80,0.0,1,0.0,0.0392,2,2,0.0182,-7,2,3,2,1.0,2,2,4.0,0,0.1004,1.0,50,0,2,1,0.0541,2,0.2807,1,2,4,0.0,3,1
20838,3,-9,3,1,2,2.0,2,3,0.0,2,-9,4.0,2,3,2,2,2,3,11,23.5,3,73.0357,1,4,4,1,2.0334,1,1,3,0,5,63.1137,2.0334,4,2.0334,90.0516,2.0334,53.0165,1,2.0334,4,-9,1,61.5718,1,1,1.0,3,0.4616,2.0334,54,0.0,1,1.0,0.7618,4,2,0.0847,49,4,1,3,3.0,1,-8,4.0,1,0.9039,2.0,1,3,3,3,0.134,3,0.9535,1,1,3,2.0,5,0
20839,-8,-8,-7,1,-8,2.0,-8,-7,0.0,-8,-8,4.5,-8,1,-8,-8,-8,0,8,13.0,5,-9.0,1,4,4,1,2.5079,2,1,5,0,2,67.298,2.5079,4,2.5079,97.0993,2.5079,-8.0,1,2.5079,3,4,2,-8.0,2,8,1.0,5,-8.0,2.5079,99,0.0,0,0.0,0.9724,-8,1,0.2531,-8,-8,1,-4,4.0,1,2,4.5,0,0.9764,1.0,75,3,2,-8,-8.0,-7,-8.0,3,3,1,15.0,-8,1
20870,3,4,3,1,4,5.0,4,5,1.0,5,5,4.5,5,4,5,5,5,6,13,3.5,5,61.5526,2,5,5,2,1.484,5,2,6,1,2,58.2689,1.484,4,1.484,80.5227,1.484,44.8423,5,1.484,5,2,1,54.543,1,1,2.0,6,0.1285,1.484,97,1.0,0,0.0,0.2229,5,3,0.0333,25,5,3,2,6.0,1,2,4.75,0,0.6448,3.0,20,5,3,1,0.0664,4,0.6158,1,1,2,16.0,4,0
20904,3,4,3,1,4,8.0,4,5,1.0,5,5,4.5,5,4,5,5,5,6,13,13.5,5,77.4047,3,12,5,5,2.9702,0,3,6,1,5,71.3747,2.9702,4,2.9702,103.076,2.9702,56.0797,12,2.9702,5,2,1,64.2715,2,1,4.0,6,0.6625,2.9702,99,1.0,1,1.0,0.9977,8,1,0.5945,13,8,2,2,5.0,1,2,4.5,1,0.9948,4.0,38,2,4,1,0.201,4,0.984,3,1,1,11.0,5,0
20910,3,3,3,1,3,3.5,3,4,1.0,4,4,4.75,4,4,3,3,4,6,13,5.5,4,89.1291,2,8,5,2,2.6893,0,2,6,1,3,68.8972,2.6893,5,2.6893,99.5149,2.6893,63.5643,8,2.6893,5,2,1,71.2812,2,1,1.5,6,0.9466,2.6893,99,1.0,3,0.0,0.9893,5,1,0.3724,39,5,2,2,3.5,2,2,4.75,1,0.9868,3.0,25,4,4,1,0.5729,3,0.9992,1,2,2,18.0,5,0
20911,3,4,3,1,4,6.0,5,5,3.0,4,5,4.5,5,3,5,5,5,5,13,14.0,6,92.5164,3,8,5,5,2.7421,0,3,6,1,2,69.3633,2.7421,4,2.7421,100.2,2.7421,65.5047,2,2.7421,5,2,1,73.4763,1,1,1.0,6,0.9725,2.7421,80,2.0,0,0.0,0.9919,4,2,0.4123,17,4,2,3,11.0,2,3,4.5,0,0.9889,3.0,30,4,3,1,0.7149,4,0.9997,1,1,3,7.0,5,0
20921,-8,-8,3,-8,-8,7.0,-8,2,1.0,-8,-8,4.5,-8,5,-8,-8,-8,5,13,21.0,2,-9.0,-8,12,4,-8,2.9458,5,-8,5,1,5,71.159,2.9458,4,2.9458,102.774,2.9458,-8.0,-8,2.9458,4,-8,1,-8.0,2,-8,1.0,5,-8.0,2.9458,87,1.0,5,3.0,0.9973,-8,3,0.575,-8,-8,-8,2,7.0,-8,3,4.5,1,0.9943,4.0,65,4,4,-8,-8.0,3,-8.0,1,1,2,6.0,-8,0
20922,3,2,3,1,2,6.0,3,2,1.0,2,3,4.75,3,5,4,4,3,2,13,4.5,4,53.7614,2,10,3,2,2.6581,5,2,4,1,5,68.6226,2.6581,4,2.6581,99.1073,2.6581,39.1561,8,2.6581,4,2,1,50.0399,2,1,2.0,4,0.0713,2.6581,80,1.0,1,2.0,0.9874,5,-9,0.3499,49,5,1,3,5.5,1,-8,4.5,1,0.9854,6.0,23,4,4,1,0.0543,3,0.2878,1,1,-8,16.0,3,0
20929,3,4,3,1,4,4.5,4,5,0.0,7,7,4.5,7,4,5,5,7,5,11,15.5,7,78.0849,2,7,5,2,1.9855,0,2,7,0,1,62.6909,1.9855,4,1.9855,89.2593,1.9855,56.5463,4,1.9855,5,1,1,64.6863,2,1,2.5,7,0.6909,1.9855,98,2.0,1,0.0,0.7179,13,2,0.0765,25,13,2,-9,4.5,2,1,4.0,1,0.8906,4.0,50,3,3,2,0.2147,2,0.9865,1,2,2,8.5,5,0
20950,3,5,3,1,5,8.0,4,6,2.0,5,4,4.5,4,4,5,5,5,6,13,10.5,5,72.8119,2,11,5,2,3.4489,0,2,6,1,5,75.5961,3.4489,5,3.4489,108.609,3.4489,52.8574,14,3.4489,5,2,1,61.4325,2,1,1.0,5,0.4513,3.4489,95,2.0,1,2.0,0.9998,7,1,0.8844,17,7,1,1,10.0,1,-8,4.5,1,0.999,4.0,35,4,3,1,0.1315,3,0.951,1,1,2,6.0,5,0
20955,-9,2,3,1,2,0.0,2,2,0.0,2,2,4.0,2,4,2,2,2,2,8,20.0,2,59.3014,2,3,1,2,0.4753,4,2,2,0,2,49.3741,0.4753,5,0.4753,63.4688,0.4753,43.2411,4,0.4753,3,2,2,53.2172,1,1,0.0,2,0.1048,0.4753,50,0.0,0,0.0,0.038,4,2,0.0179,35,4,2,3,3.0,2,4,4.0,0,0.0892,2.0,30,0,2,1,0.0616,4,0.5114,1,1,3,0.0,4,0
